subject_id,subject_name,periods_per_week,teacher,block_pattern,student_class,constraint,room,fixed_period,group_id
ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T011,2,['4/4'],"type=SUB_GROUP, สอนพร้อมกัน",B212,MON_9-MON_10,52
ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T027,2,['4/5'],"type=SUB_GROUP, สอนพร้อมกัน",B213,MON_9-MON_10,52
ว31284,การเขียนโปรแกรมคอมพิวเตอร์2,2.0,T014,2,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,53
กิจกรรมแนะแนว,กิจกรรมแนะแนว,1.0,T037,1,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,54
EFF4,EFF4,1.0,T010,1,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,55
ว31284,EFF4,,,1,"['4/1', '4/2', '4/3', '4/4', '4/5']",nan,,nan,55
ท32102,ภาษาไทย4,2.0,T036,2,"['5/1', '5/2', '5/3', '5/4', '5/5']",,C215-216,,56
ค32102,ลำดับและอนุกรม,2.0,T005,2,"['5/1', '5/2', '5/3']",,"['B212', 'B213', 'B215-216', 'B217', 'B218']",,57
ค32102,ลำดับและอนุกรม,2.0,E004,2,"['5/4', '5/5']",nan,"['B212', 'B213', 'B215-216', 'B217', 'B218']",nan,57
ส32103,ภูมิศาสตร์,2.0,T042,2,"['5/1', '5/2', '5/3', '5/4', '5/5']",,C101-102,,58
พ32102,สุขศึกษาและพลศึกษา4,1.0,T047,1,"['5/1', '5/2', '5/3', '5/4', '5/5']",,C101-102,,59
ศ32101,นาฏศิลป์และดนตรี,1.0,T040,1,"['5/1', '5/2', '5/3', '5/4', '5/5']",,D323,,60
อ32102,ภาษาอังกฤษบูรณาการ2,3.0,T029,2-1,"['5/1', '5/2', '5/3', '5/4', '5/5']",,C210-211,,61
ท32201,ภาษาไทยเพื่อการเขียนงานวิชาการ,2.0,T036,2,"['5/1', '5/2', '5/3', '5/4', '5/5']",,C215-216,,62
ค32202,แคลคูลัสเบื้องต้นและการประยุกต์,4.0,T007,2-2,"['5/1', '5/2', '5/3']",,"['B212', 'B213', 'B215-216', 'B217', 'B218']",,63
ค32202,แคลคูลัสเบื้องต้นและการประยุกต์,4.0,T002,2-2,"['5/4', '5/5']",nan,"['B212', 'B213', 'B215-216', 'B217', 'B218']",nan,63
ว32202,คลื่นแสง,4.0,T025,2-2,"['5/1', '5/2', '5/3']",,"['B210-211', 'B212', 'B213', 'B217', 'B218']",,64
ว32202,คลื่นแสง,4.0,T024,2-2,"['5/4', '5/5']",nan,"['B210-211', 'B212', 'B213', 'B217', 'B218']",nan,64
ว32222,กรด-เบสและเคมีไฟฟ้า,4.0,T018,2-2,"['5/1', '5/2', '5/3', '5/4', '5/5']",,"['B101-102', 'B212', 'B213', 'B217', 'B218']",,65
ว32242,ความหลากหลายทางชีวภาพ,4.0,T022,2-2,"['5/1', '5/2', '5/3']",,"['B108-109', 'B212', 'B213', 'B217', 'B218']",,66
ว32242,ความหลากหลายทางชีวภาพ,4.0,E005,2-2,"['5/4', '5/5']",nan,"['B108-109', 'B212', 'B213', 'B217', 'B218']",nan,66
